ID,Prob1
0, 0.29824
1, 0.77772
2, 0.16482
3, 0.89083
4, 0.61290
5, 0.50344
6, 0.15248
7, 0.04499
8, 0.20579
9, 0.28760
10, 0.45732
11, 0.91466
12, 0.05483
13, 0.11699
14, 0.21654
15, 0.02123
16, 0.43869
17, 0.03035
18, 0.37296
19, 0.62729
20, 0.57457
21, 0.23925
22, 0.86647
23, 0.78496
24, 0.65778
25, 0.39416
26, 0.03356
27, 0.22591
28, 0.17526
29, 0.62089
30, 0.38791
31, 0.11531
32, 0.82657
33, 0.08682
34, 0.47129
35, 0.28625
36, 0.16194
37, 0.56911
38, 0.69862
39, 0.21780
40, 0.53670
41, 0.54014
42, 0.53255
43, 0.17793
44, 0.47159
45, 0.46176
46, 0.85194
47, 0.63484
48, 0.83232
49, 0.39577
50, 0.15868
51, 0.66832
52, 0.50201
53, 0.16438
54, 0.88931
55, 0.43807
56, 0.11277
57, 0.13141
58, 0.60432
59, 0.38193
60, 0.59817
61, 0.21964
62, 0.25094
63, 0.52526
64, 0.04549
65, 0.67713
66, 0.09737
67, 0.66342
68, 0.02956
69, 0.85305
70, 0.51175
71, 0.34879
72, 0.28318
73, 0.05104
74, 0.63369
75, 0.56759
76, 0.64445
77, 0.01606
78, 0.19136
79, 0.27534
80, 0.15482
81, 0.37297
82, 0.33131
83, 0.15910
84, 0.66842
85, 0.18828
86, 0.14186
87, 0.65445
88, 0.04358
89, 0.00496
90, 0.63883
91, 0.52077
92, 0.48210
93, 0.08234
94, 0.08132
95, 0.49167
96, 0.58253
97, 0.10304
98, 0.12919
99, 0.53483
100, 0.29102
101, 0.03435
102, 0.46453
103, 0.49913
104, 0.14643
105, 0.34340
106, 0.22390
107, 0.15182
108, 0.09601
109, 0.64399
110, 0.05174
111, 0.03937
112, 0.81023
113, 0.51376
114, 0.69260
115, 0.15621
116, 0.62856
117, 0.49316
118, 0.84514
119, 0.13317
120, 0.77001
121, 0.09149
122, 0.12013
123, 0.90286
124, 0.34957
125, 0.30592
126, 0.10487
127, 0.22084
128, 0.06245
129, 0.59010
130, 0.50692
131, 0.07680
132, 0.34202
133, 0.14712
134, 0.21383
135, 0.89271
136, 0.56615
137, 0.04980
138, 0.18896
139, 0.61369
140, 0.51858
141, 0.27663
142, 0.19403
143, 0.33567
144, 0.78353
145, 0.84906
146, 0.74032
147, 0.34740
148, 0.29368
149, 0.57042
150, 0.06262
151, 0.07971
152, 0.30414
153, 0.34604
154, 0.08382
155, 0.02070
156, 0.74468
157, 0.54823
158, 0.62928
159, 0.18813
160, 0.73127
161, 0.31951
162, 0.48122
163, 0.91606
164, 0.46983
165, 0.42856
166, 0.15901
167, 0.22236
168, 0.03451
169, 0.40525
170, 0.06998
171, 0.19790
172, 0.54939
173, 0.82938
174, 0.05554
175, 0.47428
176, 0.05130
177, 0.83034
178, 0.69455
179, 0.14531
180, 0.49699
181, 0.32073
182, 0.22489
183, 0.80726
184, 0.18985
185, 0.21555
186, 0.80412
187, 0.41658
188, 0.02673
189, 0.19745
190, 0.14193
191, 0.03659
192, 0.35044
193, 0.35138
194, 0.24470
195, 0.14221
196, 0.05165
197, 0.13076
198, 0.33133
199, 0.13014
200, 0.24068
201, 0.05863
202, 0.20644
203, 0.18238
204, 0.05303
205, 0.75896
206, 0.17826
207, 0.03329
208, 0.17272
209, 0.01790
210, 0.09035
211, 0.14495
212, 0.32259
213, 0.37994
